rank,name,country,total_assets_bn,balance_sheet,address
44,Standard Chartered Plc,UK,674.38,12.31.2013,"1 Basinghall Avenue, London, Greater London, EC2V 5DD, United Kingdom"
11,Barclays PLC,UK,"2,164.60",12.31.2013,"1 Churchill Place, London, Greater London, E14 5HP, United Kingdom"
21,Sumitomo Mitsui Financial Group,Japan,"1,497.16",12.31.2013,"1-2, Marunouchi 1-chome, Chiyoda, Tokyo, Tokyo, 100-0005, Japan"
13,Japan Post Bank,Japan,"1,939.89",12.31.2013,"1-3-2 Kasumigaseki, Chiyoda, Tokyo, Tokyo, 100-8798, Japan"
12,Bank of America,USA,"2,102.27",12.31.2013,"100 North Tryon St., Charlotte, North Carolina, 28255, United States of America"
8,Credit Agricole Group,France,"2,356.45",12.31.2013,"12 place des Etats-Unis, Paris, Île-de-France, 92127, France"
97,VTB Bank,Russia,268.288,12.31.2013,"12 Presnenskaya Embankment, Moscow, Moscow, 123100, Russia"
88,Shinhan Financial Group,South Korea,295.264,12.31.2013,"120 2GA Taepyungro, Jung District, Seoul, Seoul, 100-724, South Korea"
58,Bank of Montreal,Canada,504.743,10.31.2013,"129 Saint Jacques Street, Montreal, Québec, H2Y 1L6, Canada"
4,BNP Paribas,France,"2,486.00",12.31.2013,"16 B Boulevard des Italiens, Paris, Île-de-France, 75009, France"
87,Capital One Financial Corporation,USA,297.048,12.31.2013,"1680 Capital One Drive, McLean, Virginia, 22102, United States of America"
56,China Minsheng Banking Corp,China,533.099,12.31.2013,"2 Fuxingmen Nei Ave West District, Beijing, Beijing, 100873, China"
38,Royal Bank of Canada,Canada,808.66,10.31.2013,"200 Bay Street, Toronto, Ontario, M5J 2J5, Canada"
31,Goldman Sachs Group,USA,911.507,12.31.2013,"200 West Street, Manhattan, New York, 10004, "
22,Lloyds Banking Group,UK,"1,397.19",12.31.2013,"25 Gresham Street, London, Greater London, EC2V 7HN, United Kingdom"
6,JPMorgan Chase & Co,USA,"2,415.69",12.31.2013,"270 Park Avenue, New York City, New York, 10017, United States of America"
48,Westpac Banking Corp,Australia,625.365,09.30.2013,"275 Kent Street, Sydney, New South Wales, 2000, Australia"
16,Societe Generale,France,"1,705.90",12.31.2013,"29 bd Haussmann, Paris, Île-de-France, 75009, France"
14,Citigroup Inc,USA,"1,880.38",12.31.2013,"399 Park Avenue, New York City, New York, 10022, United States of America"
20,Wells Fargo,USA,"1,527.02",12.31.2013,"420 Montgomery Street, San Francisco, California, 94104, United States of America"
42,Bank of Nova Scotia,Canada,698.721,10.31.2013,"44 King Street West, Toronto, Ontario, M5H 3Y2, Canada"
5,Mitsubishi UFJ Financial Group,Japan,"2,462.90",12.31.2013,"7-1, Marunouchi 2-Chome, Chiyoda, Tokyo, Tokyo, 100-8330, Japan"
2,HSBC Holdings,UK,"2,671.32",12.31.2013,"8 Canada Square, London, Greater London, E14 5HQ, United Kingdom"
